Sample ID,Daphnia Sp.,Lake,Year,Date,Avg. Count,Spores,DNA Ext Date,MICGEN PCR,BERW PCR,MIC1 PCR,MIC2 PCR,MIC3 PCR,MICGEN SEQ (ident %),BERW SEQ,MIC1 SEQ,MIC2 SEQ,MIC3 SEQ,
121,Am,BS,2021,26-Aug,67.5,168750,,,,,,,,,,,,
122,La,Sis1,2021,26-Aug,55.63,139062.5,,,,,,,,,,,,
123,La,Sis1,2021,26-Aug,56.75,141875,,,,,,,,,,,,
124,La,Sis1,2021,26-Aug,88.38,220937.5,,,,,,,,,,,,
125,La,Sis1,2021,26-Aug,75.75,189375,,,,,,,,,,,,
126,Am,BS,2021,26-Aug,74.75,186875,,,,,,,,,,,,
127,Am,BS,2021,26-Aug,37,92500,,,,,,,,,,,,
128,Am,BS,2021,26-Aug,67.25,168125,,,,,,,,,,,,
129,Am,BS,2021,26-Aug,67.88,169687.5,,,,,,,,,,,,
130,Am,BS,2021,26-Aug,70.13,175312.5,,,,,,,,,,,,
131,Am,Dean,2021,14-Sep,25.63,64062.5,,,,,,,,,,,,
132,Pa,Dean,2021,14-Sep,40.88,102187.5,,,,,,,,,,,,
133,Am,BS,2021,14-Sep,91.25,228125,,,,,,,,,,,,
134,Am,BS,2021,14-Sep,80,200000,,,,,,,,,,,,
135,Am,BS,2021,14-Sep,54.38,135937.5,,,,,,,,,,,,
136,Dia,Deer,2021,14-Sep,21.38,53437.5,,,,,,,,,,,,
137,Dia,Deer,2021,14-Sep,25.13,62812.5,,,,,,,,,,,,
138,Dia,Deer,2021,14-Sep,25,62500,,,,,,,,,,,,
139,Dia,Deer,2021,14-Sep,29.13,72812.5,,,,,,,,,,,,
140,Dia,Deer,2021,14-Sep,34.75,86875,,,,,,,,,,,,
141,Cerio,VIP,2021,13-Oct,15.38,38437.5,,,,,,,,,,,,
142,Cerio,VIP,2021,13-Oct,36.5,91250,,,,,,,,,,,,
143,Am,BS,2021,13-Oct,86.38,215937.5,,,,,,,,,,,,
144,Cerio,VIP,2021,13-Oct,16.88,42187.5,,,,,,,,,,,,
145,Cerio,BS,2021,13-Oct,12.75,31875,,,,,,,,,,,,
146,Cerio,Dean,2021,13-Oct,19.13,47812.5,,,,,,,,,,,,
147,Pa,Dean,2021,13-Oct,32.75,81875,,,,,,,,,,,,
148,Am,Dean,2021,13-Oct,32,80000,,,,,,,,,,,,
149,Am,Dean,2021,13-Oct,34.25,85625,,,,,,,,,,,,
150,Cerio,BS,2021,22-Nov,43.38,108437.5,,,,,,,,,,,,
151,Pa,Deer,2021,22-Nov,108,270000,,,,,,,,,,,,
152,Simo,BS,2021,22-Nov,38,95000,,,,,,,,,,,,
153,Am,Deans,2021,14-Dec,65.25,163125,,,,,,,,,,,,
154,Dia,VIP,2021,14-Dec,70.25,175625,,,,,,,,,,,,
155,Simo,Cat,2021,22-Nov,59.5,148750,,,,,,,,,,,,
